cycle-size,binary-search-mpc
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,2
24,0
25,0
26,0
27,0
28,0
29,2
30,0
31,0
32,0
33,0
34,0
35,2
36,0
37,3
38,0
39,2
40,0
41,0
42,0
43,0
44,0
45,2
46,2
47,3
48,0
49,3
50,2
51,0
52,0
53,2
54,0
55,2
56,0
57,0
58,3
59,3
60,0
61,2
62,0
63,0
64,0
65,0
66,0
67,3
68,0
69,4
70,3
71,4
72,0
73,0
74,5
75,3
76,2
77,4
78,2
79,3
80,0
81,3
82,2
83,3
84,0
85,0
86,0
87,3
88,0
89,4
90,2
91,4
92,2
93,0
94,3
95,3
96,0
97,4
98,3
99,2
100,2
101,3
102,0
103,3
104,0
105,5
106,3
107,5
108,3
109,4
110,2
111,3
112,0
113,3
114,0
115,3
116,2
117,3
118,2
119,2
120,0
121,3
122,2
123,2
124,0
125,2
126,0
127,0
128,0
129,0
130,0
131,5
132,0
133,5
134,4
135,5
136,0
137,2
138,4
139,4
140,3
141,3
142,4
143,4
144,0
145,2
146,0
147,4
148,2
149,2
150,5
151,5
152,3
153,4
154,3
155,5
156,3
157,3
158,3
159,3
160,0
161,4
162,3
163,4
164,2
165,2
166,3
167,3
168,0
169,2
170,0
171,0
172,0
173,6
174,4
175,4
176,0
177,4
178,3
179,2
180,5
181,6
182,4
183,5
184,3
185,4
186,5
187,4
188,3
189,5
190,3
191,3
192,0
193,5
194,4
195,3
196,3
197,4
198,2
199,4
200,2
201,3
202,3
203,2
204,0
205,0
206,3
207,3
208,0
209,5
210,4
211,4
212,3
213,4
214,3
215,3
216,2
217,4
218,3
219,3
220,2
221,3
222,2
223,2
224,0
225,5
226,4
227,4
228,3
229,4
230,3
231,3
232,2
233,4
234,3
235,3
236,2
237,3
238,2
239,2
240,0
241,4
242,3
243,3
244,2
245,3
246,2
247,2
248,0
249,3
250,2
251,2
252,0
253,2
254,0
255,0
256,0
257,0
258,0
259,7
260,0
261,5
262,6
263,6
264,0
265,5
266,4
267,7
268,5
269,5
270,5
271,5
272,0
273,5
274,4
275,5
276,3
277,3
